Location,Indicator,Period,Dim1,First Tooltip
Liberia,Concentrations of fine particulate matter (PM2.5),2016,Total,17.19 [11.2-28.18]
Liberia,Concentrations of fine particulate matter (PM2.5),2016,Urban,17.04 [10.45-29.56]
Liberia,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.38 [11.29-28.59]
Libya,Concentrations of fine particulate matter (PM2.5),2016,Total,44.17 [27.42-97.68]
Libya,Concentrations of fine particulate matter (PM2.5),2016,Urban,41.74 [19.15-93.51]
Libya,Concentrations of fine particulate matter (PM2.5),2016,Rural,44.95 [28.22-100]
Lithuania,Concentrations of fine particulate matter (PM2.5),2016,Total,11.49 [10.64-12.92]
Lithuania,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.3 [11.49-13.94]
Lithuania,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.86 [9.84-12.22]
Luxembourg,Concentrations of fine particulate matter (PM2.5),2016,Total,10.21 [9.51-10.88]
Luxembourg,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.39 [9.78-11.1]
Luxembourg,Concentrations of fine particulate matter (PM2.5),2016,Rural,8.78 [7.88-10.05]
Madagascar,Concentrations of fine particulate matter (PM2.5),2016,Total,21.44 [13.66-36.05]
Madagascar,Concentrations of fine particulate matter (PM2.5),2016,Urban,22.48 [14.57-35.81]
Madagascar,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.69 [12.93-36.08]
Malawi,Concentrations of fine particulate matter (PM2.5),2016,Total,22.14 [12.09-40.26]
Malawi,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.9 [11.79-40.54]
Malawi,Concentrations of fine particulate matter (PM2.5),2016,Rural,23.34 [11.77-43.47]
Malaysia,Concentrations of fine particulate matter (PM2.5),2016,Total,16.04 [13.58-19.17]
Malaysia,Concentrations of fine particulate matter (PM2.5),2016,Urban,17.32 [14.69-20.93]
Malaysia,Concentrations of fine particulate matter (PM2.5),2016,Rural,11.58 [9.8-15.09]
Maldives,Concentrations of fine particulate matter (PM2.5),2016,Total,7.63 [6.1-9.86]
Maldives,Concentrations of fine particulate matter (PM2.5),2016,Urban,7.67 [6.14-9.98]
Maldives,Concentrations of fine particulate matter (PM2.5),2016,Rural,7.59 [5.79-10.36]
Mali,Concentrations of fine particulate matter (PM2.5),2016,Total,31.17 [17.4-79.69]
Mali,Concentrations of fine particulate matter (PM2.5),2016,Urban,29.01 [15.01-77.35]
Mali,Concentrations of fine particulate matter (PM2.5),2016,Rural,32.67 [19.03-84.87]
Malta,Concentrations of fine particulate matter (PM2.5),2016,Total,13.97 [12.39-15.17]
Malta,Concentrations of fine particulate matter (PM2.5),2016,Urban,13.99 [12.4-15.19]
Malta,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.06 [9.02-11.23]
Marshall Islands,Concentrations of fine particulate matter (PM2.5),2016,Total,9.43 [4.52-21.78]
Marshall Islands,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.43 [4.52-21.78]
Mauritania,Concentrations of fine particulate matter (PM2.5),2016,Total,40.82 [18.57-92.21]
Mauritania,Concentrations of fine particulate matter (PM2.5),2016,Urban,41.71 [18.78-101.7]
Mauritania,Concentrations of fine particulate matter (PM2.5),2016,Rural,40.03 [18.13-101.7]
Mauritius,Concentrations of fine particulate matter (PM2.5),2016,Total,13.54 [8.06-26.37]
Mauritius,Concentrations of fine particulate matter (PM2.5),2016,Urban,13.52 [8.05-26.3]
Mauritius,Concentrations of fine particulate matter (PM2.5),2016,Rural,14.9 [8.29-29.5]
Mexico,Concentrations of fine particulate matter (PM2.5),2016,Total,20.08 [16.66-27.19]
Mexico,Concentrations of fine particulate matter (PM2.5),2016,Urban,20.88 [17.31-28.31]
Mexico,Concentrations of fine particulate matter (PM2.5),2016,Rural,14.38 [11.43-20.78]
Micronesia (Federated States of),Concentrations of fine particulate matter (PM2.5),2016,Total,10.23 [4.5-24.93]
Micronesia (Federated States of),Concentrations of fine particulate matter (PM2.5),2016,Urban,10.46 [4.34-25.95]
Micronesia (Federated States of),Concentrations of fine particulate matter (PM2.5),2016,Rural,10.07 [4.6-23.95]
Monaco,Concentrations of fine particulate matter (PM2.5),2016,Total,12.2 [9.68-15.33]
Monaco,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.2 [9.68-15.33]
Mongolia,Concentrations of fine particulate matter (PM2.5),2016,Total,40.42 [28.81-52.12]
Mongolia,Concentrations of fine particulate matter (PM2.5),2016,Urban,49.51 [34.99-64.48]
Mongolia,Concentrations of fine particulate matter (PM2.5),2016,Rural,36.87 [26.47-47.26]
Montenegro,Concentrations of fine particulate matter (PM2.5),2016,Total,20.17 [18.48-23.66]
Montenegro,Concentrations of fine particulate matter (PM2.5),2016,Urban,19.31 [18.32-22.74]
Montenegro,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.57 [18.52-24.08]
Morocco,Concentrations of fine particulate matter (PM2.5),2016,Total,30.99 [23.96-44.87]
Morocco,Concentrations of fine particulate matter (PM2.5),2016,Urban,31.1 [24.26-44.23]
Morocco,Concentrations of fine particulate matter (PM2.5),2016,Rural,30.42 [21.83-48.73]
Mozambique,Concentrations of fine particulate matter (PM2.5),2016,Total,19.44 [12.45-33.08]
Mozambique,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.43 [12.09-31.06]
Mozambique,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.09 [12.54-34.07]
Myanmar,Concentrations of fine particulate matter (PM2.5),2016,Total,34.69 [31.44-41.24]
Myanmar,Concentrations of fine particulate matter (PM2.5),2016,Urban,34.61 [30.77-43.82]
Myanmar,Concentrations of fine particulate matter (PM2.5),2016,Rural,34.77 [31.77-40.11]
Namibia,Concentrations of fine particulate matter (PM2.5),2016,Total,22.59 [12.16-46.31]
Namibia,Concentrations of fine particulate matter (PM2.5),2016,Urban,20.96 [11.39-46.25]
Namibia,Concentrations of fine particulate matter (PM2.5),2016,Rural,24.01 [12.52-49.6]
Nauru,Concentrations of fine particulate matter (PM2.5),2016,Total,12.53 [7.99-18.41]
Nauru,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.53 [7.99-18.41]
Nauru,Concentrations of fine particulate matter (PM2.5),2016,Rural,10 [6.59-14.01]
Nepal,Concentrations of fine particulate matter (PM2.5),2016,Total,94.33 [70.99-139.8]
Nepal,Concentrations of fine particulate matter (PM2.5),2016,Urban,99.46 [75.47-146.6]
Nepal,Concentrations of fine particulate matter (PM2.5),2016,Rural,68.28 [51.14-106.2]
Netherlands,Concentrations of fine particulate matter (PM2.5),2016,Total,12.07 [11.51-12.56]
Netherlands,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.12 [11.56-12.61]
Netherlands,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.95 [10.1-11.87]
New Zealand,Concentrations of fine particulate matter (PM2.5),2016,Total,5.73 [5.58-6.45]
New Zealand,Concentrations of fine particulate matter (PM2.5),2016,Urban,5.84 [5.71-6.58]
New Zealand,Concentrations of fine particulate matter (PM2.5),2016,Rural,5.18 [4.94-5.98]
Nicaragua,Concentrations of fine particulate matter (PM2.5),2016,Total,16.87 [11.29-25.23]
Nicaragua,Concentrations of fine particulate matter (PM2.5),2016,Urban,19 [12.81-28.72]
Nicaragua,Concentrations of fine particulate matter (PM2.5),2016,Rural,14.6 [9.43-22.79]
Niger,Concentrations of fine particulate matter (PM2.5),2016,Total,70.8 [35.94-250.7]
Niger,Concentrations of fine particulate matter (PM2.5),2016,Urban,73.02 [34.22-279.9]
Niger,Concentrations of fine particulate matter (PM2.5),2016,Rural,69.66 [35.48-237.2]
Nigeria,Concentrations of fine particulate matter (PM2.5),2016,Total,48.73 [41.08-125.8]
Nigeria,Concentrations of fine particulate matter (PM2.5),2016,Urban,46.28 [40.14-123.4]
Nigeria,Concentrations of fine particulate matter (PM2.5),2016,Rural,56.51 [43-140.8]
Niue,Concentrations of fine particulate matter (PM2.5),2016,Total,11.47 [7.36-17.66]
Niue,Concentrations of fine particulate matter (PM2.5),2016,Rural,11.47 [7.36-17.66]
Norway,Concentrations of fine particulate matter (PM2.5),2016,Total,7.02 [6.53-7.5]
Norway,Concentrations of fine particulate matter (PM2.5),2016,Urban,7.77 [7.21-8.22]
Norway,Concentrations of fine particulate matter (PM2.5),2016,Rural,6.39 [5.95-6.98]
Oman,Concentrations of fine particulate matter (PM2.5),2016,Total,38.25 [27.55-63.13]
Oman,Concentrations of fine particulate matter (PM2.5),2016,Urban,36.17 [23.59-56.93]
Oman,Concentrations of fine particulate matter (PM2.5),2016,Rural,40.01 [28.4-67.97]
Pakistan,Concentrations of fine particulate matter (PM2.5),2016,Total,55.21 [46.7-75.74]
Pakistan,Concentrations of fine particulate matter (PM2.5),2016,Urban,56.18 [47.75-76.74]
Pakistan,Concentrations of fine particulate matter (PM2.5),2016,Rural,51.99 [41.79-77.92]
Palau,Concentrations of fine particulate matter (PM2.5),2016,Total,12.18 [7.15-19.82]
Palau,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.37 [7.29-20.39]
Palau,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.02 [7.08-19.54]
Panama,Concentrations of fine particulate matter (PM2.5),2016,Total,11.18 [8.62-15.18]
Panama,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.99 [9.21-16.52]
Panama,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.42 [7.05-14.18]
Papua New Guinea,Concentrations of fine particulate matter (PM2.5),2016,Total,10.91 [4.38-30.76]
Papua New Guinea,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.47 [4.39-34.16]
Papua New Guinea,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.78 [4.36-29.14]
Paraguay,Concentrations of fine particulate matter (PM2.5),2016,Total,11.16 [7.56-16.46]
Paraguay,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.69 [8.35-16.79]
Paraguay,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.21 [6.76-17.13]
Peru,Concentrations of fine particulate matter (PM2.5),2016,Total,24.27 [20.32-32.81]
Peru,Concentrations of fine particulate matter (PM2.5),2016,Urban,29.04 [25.46-35.08]
Peru,Concentrations of fine particulate matter (PM2.5),2016,Rural,18.35 [13.3-29.46]
Philippines,Concentrations of fine particulate matter (PM2.5),2016,Total,18.38 [15.07-21.35]
Philippines,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.71 [15.32-21.87]
Philippines,Concentrations of fine particulate matter (PM2.5),2016,Rural,13.98 [11.4-17.91]
Poland,Concentrations of fine particulate matter (PM2.5),2016,Total,20.54 [20.37-21.4]
Poland,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.53 [21.4-22.38]
Poland,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.99 [17.51-18.84]
Portugal,Concentrations of fine particulate matter (PM2.5),2016,Total,7.87 [7.68-8.22]
Portugal,Concentrations of fine particulate matter (PM2.5),2016,Urban,8.11 [7.89-8.44]
Portugal,Concentrations of fine particulate matter (PM2.5),2016,Rural,7.06 [6.51-7.39]
Qatar,Concentrations of fine particulate matter (PM2.5),2016,Total,90.35 [68.34-118.8]
Qatar,Concentrations of fine particulate matter (PM2.5),2016,Urban,91.66 [69.62-120.9]
Qatar,Concentrations of fine particulate matter (PM2.5),2016,Rural,81.32 [56.25-112.1]
Republic of Korea,Concentrations of fine particulate matter (PM2.5),2016,Total,24.57 [23.36-26.28]
Republic of Korea,Concentrations of fine particulate matter (PM2.5),2016,Urban,24.68 [23.44-26.49]
Republic of Korea,Concentrations of fine particulate matter (PM2.5),2016,Rural,23.65 [21.8-25.85]
Republic of Moldova,Concentrations of fine particulate matter (PM2.5),2016,Total,15.97 [11.2-22.34]
Republic of Moldova,Concentrations of fine particulate matter (PM2.5),2016,Urban,16.49 [11.28-23.08]
Republic of Moldova,Concentrations of fine particulate matter (PM2.5),2016,Rural,15.2 [11.11-21.04]
Romania,Concentrations of fine particulate matter (PM2.5),2016,Total,14.29 [13.83-15.45]
Romania,Concentrations of fine particulate matter (PM2.5),2016,Urban,15.35 [14.74-16.43]
Romania,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.75 [12.26-13.7]
Russian Federation,Concentrations of fine particulate matter (PM2.5),2016,Total,13.75 [10.85-24.67]
Russian Federation,Concentrations of fine particulate matter (PM2.5),2016,Urban,14.73 [11.64-25.71]
Russian Federation,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.25 [9.7-23.36]
Rwanda,Concentrations of fine particulate matter (PM2.5),2016,Total,40.75 [16.13-96.97]
Rwanda,Concentrations of fine particulate matter (PM2.5),2016,Urban,40.71 [16.06-97.05]
Rwanda,Concentrations of fine particulate matter (PM2.5),2016,Rural,43.96 [18.82-103]
Saint Kitts and Nevis,Concentrations of fine particulate matter (PM2.5),2016,Total,12.31 [8.17-19.47]
Saint Kitts and Nevis,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.32 [8.17-19.55]
Saint Kitts and Nevis,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.26 [8.15-19.29]
Saint Lucia,Concentrations of fine particulate matter (PM2.5),2016,Total,21.22 [12.44-40.09]
Saint Lucia,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.25 [12.46-40.16]
Saint Lucia,Concentrations of fine particulate matter (PM2.5),2016,Rural,19.03 [10.57-34.74]
Saint Vincent and the Grenadines,Concentrations of fine particulate matter (PM2.5),2016,Total,21.2 [11.39-43.17]
Saint Vincent and the Grenadines,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.38 [11.52-43.84]
Saint Vincent and the Grenadines,Concentrations of fine particulate matter (PM2.5),2016,Rural,19.69 [10.48-39.24]
Samoa,Concentrations of fine particulate matter (PM2.5),2016,Total,10.56 [4.14-26.04]
Samoa,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.88 [4.24-26.98]
Samoa,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.22 [4.09-24.43]
San Marino,Concentrations of fine particulate matter (PM2.5),2016,Total,13.45 [8.86-21.85]
San Marino,Concentrations of fine particulate matter (PM2.5),2016,Urban,13.45 [8.86-21.85]
Sao Tome and Principe,Concentrations of fine particulate matter (PM2.5),2016,Total,25.66 [14.26-52.11]
Sao Tome and Principe,Concentrations of fine particulate matter (PM2.5),2016,Urban,25.16 [13.82-50.86]
Sao Tome and Principe,Concentrations of fine particulate matter (PM2.5),2016,Rural,26.35 [14.62-53.14]
Saudi Arabia,Concentrations of fine particulate matter (PM2.5),2016,Total,78.38 [58.58-127.6]
Saudi Arabia,Concentrations of fine particulate matter (PM2.5),2016,Urban,86.73 [64.21-133.6]
Saudi Arabia,Concentrations of fine particulate matter (PM2.5),2016,Rural,75.15 [57.01-124.7]
Senegal,Concentrations of fine particulate matter (PM2.5),2016,Total,37.52 [24.54-67.85]
Senegal,Concentrations of fine particulate matter (PM2.5),2016,Urban,39.75 [27.07-63.3]
Senegal,Concentrations of fine particulate matter (PM2.5),2016,Rural,35.19 [20.09-73.48]
Serbia,Concentrations of fine particulate matter (PM2.5),2016,Total,24.27 [22.2-27.72]
Serbia,Concentrations of fine particulate matter (PM2.5),2016,Urban,24.7 [22.92-28.12]
Serbia,Concentrations of fine particulate matter (PM2.5),2016,Rural,23 [20.55-26.62]
Seychelles,Concentrations of fine particulate matter (PM2.5),2016,Total,18.72 [10.49-37.84]
Seychelles,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.63 [10.54-37.42]
Seychelles,Concentrations of fine particulate matter (PM2.5),2016,Rural,19.05 [10.14-38.22]
Sierra Leone,Concentrations of fine particulate matter (PM2.5),2016,Total,20.63 [11.09-42.47]
Sierra Leone,Concentrations of fine particulate matter (PM2.5),2016,Urban,20.6 [11.31-40.55]
Sierra Leone,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.73 [10.29-45.27]
Singapore,Concentrations of fine particulate matter (PM2.5),2016,Total,18.26 [13.66-24.56]
Singapore,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.26 [13.66-24.56]
Singapore,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.7 [8.79-18.36]
Slovakia,Concentrations of fine particulate matter (PM2.5),2016,Total,17.54 [16.94-18.78]
Slovakia,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.04 [17.37-19.31]
Slovakia,Concentrations of fine particulate matter (PM2.5),2016,Rural,16.36 [15.62-17.77]
Slovenia,Concentrations of fine particulate matter (PM2.5),2016,Total,15.81 [15.14-17.01]
Slovenia,Concentrations of fine particulate matter (PM2.5),2016,Urban,16.4 [15.71-17.5]
Slovenia,Concentrations of fine particulate matter (PM2.5),2016,Rural,14.7 [13.41-16.08]
Solomon Islands,Concentrations of fine particulate matter (PM2.5),2016,Total,10.67 [4.58-27.84]
Solomon Islands,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.47 [4.24-37.92]
Solomon Islands,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.56 [4.61-27.3]
Somalia,Concentrations of fine particulate matter (PM2.5),2016,Total,29.51 [18-56.06]
Somalia,Concentrations of fine particulate matter (PM2.5),2016,Urban,27.98 [16.11-52.02]
Somalia,Concentrations of fine particulate matter (PM2.5),2016,Rural,29.89 [18.55-57.71]
South Africa,Concentrations of fine particulate matter (PM2.5),2016,Total,23.58 [17.99-33.35]
South Africa,Concentrations of fine particulate matter (PM2.5),2016,Urban,24.27 [18.79-34.19]
South Africa,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.89 [14.52-31.11]
South Sudan,Concentrations of fine particulate matter (PM2.5),2016,Total,41.12 [21.73-87.92]
South Sudan,Concentrations of fine particulate matter (PM2.5),2016,Urban,40.85 [21.51-86.55]
South Sudan,Concentrations of fine particulate matter (PM2.5),2016,Rural,41.15 [21.7-88.4]
Spain,Concentrations of fine particulate matter (PM2.5),2016,Total,9.48 [9.47-9.87]
Spain,Concentrations of fine particulate matter (PM2.5),2016,Urban,9.76 [9.77-10.18]
Spain,Concentrations of fine particulate matter (PM2.5),2016,Rural,8.32 [8.33-8.91]
Sri Lanka,Concentrations of fine particulate matter (PM2.5),2016,Total,15.25 [9.69-19.93]
Sri Lanka,Concentrations of fine particulate matter (PM2.5),2016,Urban,15.09 [9.64-19.83]
Sri Lanka,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.28 [9.88-24.81]
Sudan,Concentrations of fine particulate matter (PM2.5),2016,Total,47.92 [25.05-113.4]
Sudan,Concentrations of fine particulate matter (PM2.5),2016,Urban,46.84 [22.79-120.2]
Sudan,Concentrations of fine particulate matter (PM2.5),2016,Rural,48.27 [25.99-107.5]
Suriname,Concentrations of fine particulate matter (PM2.5),2016,Total,23.6 [11.71-46.07]
Suriname,Concentrations of fine particulate matter (PM2.5),2016,Urban,25.82 [13.24-51.01]
Suriname,Concentrations of fine particulate matter (PM2.5),2016,Rural,19.36 [9.07-39.08]
Sweden,Concentrations of fine particulate matter (PM2.5),2016,Total,5.89 [5.75-6.5]
Sweden,Concentrations of fine particulate matter (PM2.5),2016,Urban,6.14 [6.09-6.91]
Sweden,Concentrations of fine particulate matter (PM2.5),2016,Rural,5.41 [5.08-5.92]
Switzerland,Concentrations of fine particulate matter (PM2.5),2016,Total,10.21 [9.99-10.64]
Switzerland,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.42 [10.16-10.83]
Switzerland,Concentrations of fine particulate matter (PM2.5),2016,Rural,8.57 [8.15-9.07]
Syrian Arab Republic,Concentrations of fine particulate matter (PM2.5),2016,Total,39.43 [32.43-58.91]
Syrian Arab Republic,Concentrations of fine particulate matter (PM2.5),2016,Urban,37.4 [30.89-53.28]
Syrian Arab Republic,Concentrations of fine particulate matter (PM2.5),2016,Rural,49.16 [33.23-79.92]
Tajikistan,Concentrations of fine particulate matter (PM2.5),2016,Total,40.05 [19.93-84.69]
Tajikistan,Concentrations of fine particulate matter (PM2.5),2016,Urban,42.85 [21.24-91.77]
Tajikistan,Concentrations of fine particulate matter (PM2.5),2016,Rural,37.78 [18.68-77.75]
Thailand,Concentrations of fine particulate matter (PM2.5),2016,Total,26.23 [23.16-29.16]
Thailand,Concentrations of fine particulate matter (PM2.5),2016,Urban,26.58 [23.98-28.79]
Thailand,Concentrations of fine particulate matter (PM2.5),2016,Rural,25.19 [21.01-30.44]
The former Yugoslav Republic of Macedonia,Concentrations of fine particulate matter (PM2.5),2016,Total,28.34 [27.09-32.42]
The former Yugoslav Republic of Macedonia,Concentrations of fine particulate matter (PM2.5),2016,Urban,33.04 [30.77-36.68]
The former Yugoslav Republic of Macedonia,Concentrations of fine particulate matter (PM2.5),2016,Rural,24.61 [22.95-28.5]
Timor-Leste,Concentrations of fine particulate matter (PM2.5),2016,Total,17.88 [8.25-39.37]
Timor-Leste,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.24 [8.26-41.59]
Timor-Leste,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.19 [8.11-40.4]
Togo,Concentrations of fine particulate matter (PM2.5),2016,Total,32.71 [19.72-65.19]
Togo,Concentrations of fine particulate matter (PM2.5),2016,Urban,31.22 [18.27-60.46]
Togo,Concentrations of fine particulate matter (PM2.5),2016,Rural,35.11 [20.44-82.75]
Tonga,Concentrations of fine particulate matter (PM2.5),2016,Total,10.08 [5.03-21.9]
Tonga,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.21 [4.85-23.08]
Tonga,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.94 [5.25-20.91]
Trinidad and Tobago,Concentrations of fine particulate matter (PM2.5),2016,Total,22.04 [10.49-47.99]
Trinidad and Tobago,Concentrations of fine particulate matter (PM2.5),2016,Urban,22.42 [10.52-49]
Trinidad and Tobago,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.92 [10.18-45.34]
Tunisia,Concentrations of fine particulate matter (PM2.5),2016,Total,35.66 [26.17-58.66]
Tunisia,Concentrations of fine particulate matter (PM2.5),2016,Urban,35.74 [26.23-52.48]
Tunisia,Concentrations of fine particulate matter (PM2.5),2016,Rural,35.53 [25.19-65.84]
Turkey,Concentrations of fine particulate matter (PM2.5),2016,Total,41.97 [36.61-50.95]
Turkey,Concentrations of fine particulate matter (PM2.5),2016,Urban,41.2 [36.6-50.46]
Turkey,Concentrations of fine particulate matter (PM2.5),2016,Rural,43.17 [36.89-52.81]
Turkmenistan,Concentrations of fine particulate matter (PM2.5),2016,Total,19.02 [11.57-38.02]
Turkmenistan,Concentrations of fine particulate matter (PM2.5),2016,Urban,24.23 [12.61-46.34]
Turkmenistan,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.99 [10.97-37.53]
Tuvalu,Concentrations of fine particulate matter (PM2.5),2016,Total,11.42 [7.26-16.56]
Tuvalu,Concentrations of fine particulate matter (PM2.5),2016,Rural,11.42 [7.26-16.56]
Uganda,Concentrations of fine particulate matter (PM2.5),2016,Total,48.41 [27.91-79.63]
Uganda,Concentrations of fine particulate matter (PM2.5),2016,Urban,48.73 [28.17-78.52]
Uganda,Concentrations of fine particulate matter (PM2.5),2016,Rural,47.1 [26.43-87.05]
Ukraine,Concentrations of fine particulate matter (PM2.5),2016,Total,18.29 [11.79-33.76]
Ukraine,Concentrations of fine particulate matter (PM2.5),2016,Urban,19.41 [12.17-37.33]
Ukraine,Concentrations of fine particulate matter (PM2.5),2016,Rural,16.68 [11.25-27.95]
United Arab Emirates,Concentrations of fine particulate matter (PM2.5),2016,Total,39.44 [28.59-58.12]
United Arab Emirates,Concentrations of fine particulate matter (PM2.5),2016,Urban,37.23 [22.15-62.19]
United Arab Emirates,Concentrations of fine particulate matter (PM2.5),2016,Rural,40.22 [29.92-57.07]
United Kingdom of Great Britain and Northern Ireland,Concentrations of fine particulate matter (PM2.5),2016,Total,10.53 [10.16-10.9]
United Kingdom of Great Britain and Northern Ireland,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.64 [10.31-11.02]
United Kingdom of Great Britain and Northern Ireland,Concentrations of fine particulate matter (PM2.5),2016,Rural,8.44 [7.95-8.94]
United Republic of Tanzania,Concentrations of fine particulate matter (PM2.5),2016,Total,25.59 [18.57-47.77]
United Republic of Tanzania,Concentrations of fine particulate matter (PM2.5),2016,Urban,25.09 [18.31-46.57]
United Republic of Tanzania,Concentrations of fine particulate matter (PM2.5),2016,Rural,26.45 [17.64-49.14]
United States of America,Concentrations of fine particulate matter (PM2.5),2016,Total,7.4 [7.28-7.51]
United States of America,Concentrations of fine particulate matter (PM2.5),2016,Urban,7.55 [7.44-7.68]
United States of America,Concentrations of fine particulate matter (PM2.5),2016,Rural,6.7 [6.43-6.73]
Uruguay,Concentrations of fine particulate matter (PM2.5),2016,Total,8.63 [6.97-11.42]
Uruguay,Concentrations of fine particulate matter (PM2.5),2016,Urban,8.68 [7.05-11.43]
Uruguay,Concentrations of fine particulate matter (PM2.5),2016,Rural,7.97 [5.8-11.82]
Uzbekistan,Concentrations of fine particulate matter (PM2.5),2016,Total,25.29 [13.15-51.5]
Uzbekistan,Concentrations of fine particulate matter (PM2.5),2016,Urban,28.85 [14.66-58.99]
Uzbekistan,Concentrations of fine particulate matter (PM2.5),2016,Rural,22.35 [11.91-44.3]
Vanuatu,Concentrations of fine particulate matter (PM2.5),2016,Total,10.31 [4.38-26.32]
Vanuatu,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.01 [4.45-29.05]
Vanuatu,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.12 [4.28-25.46]
Venezuela (Bolivarian Republic of),Concentrations of fine particulate matter (PM2.5),2016,Total,15.82 [10.85-25.87]
Venezuela (Bolivarian Republic of),Concentrations of fine particulate matter (PM2.5),2016,Urban,16.83 [11.82-27.15]
Venezuela (Bolivarian Republic of),Concentrations of fine particulate matter (PM2.5),2016,Rural,14.57 [10.08-23.86]
Viet Nam,Concentrations of fine particulate matter (PM2.5),2016,Total,29.66 [24.57-37.08]
Viet Nam,Concentrations of fine particulate matter (PM2.5),2016,Urban,30.13 [25.09-37.92]
Viet Nam,Concentrations of fine particulate matter (PM2.5),2016,Rural,26.56 [22.17-34.61]
Yemen,Concentrations of fine particulate matter (PM2.5),2016,Total,44.96 [20.93-111.1]
Yemen,Concentrations of fine particulate matter (PM2.5),2016,Urban,44.3 [19.19-111.3]
Yemen,Concentrations of fine particulate matter (PM2.5),2016,Rural,46.47 [21.89-113.7]
Zambia,Concentrations of fine particulate matter (PM2.5),2016,Total,24.7 [13.41-45.28]
Zambia,Concentrations of fine particulate matter (PM2.5),2016,Urban,23.81 [11.22-45.08]
Zambia,Concentrations of fine particulate matter (PM2.5),2016,Rural,25.2 [14.08-45.93]
Zimbabwe,Concentrations of fine particulate matter (PM2.5),2016,Total,19.35 [10.38-35.2]
Zimbabwe,Concentrations of fine particulate matter (PM2.5),2016,Urban,19.14 [10.12-35.26]
Zimbabwe,Concentrations of fine particulate matter (PM2.5),2016,Rural,19.52 [10.39-35.44]
